date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
2023-07-01,26.1,24.1,30.8,34.2,,107,10.6,,1002.5,
2023-07-02,26.4,24.5,30.6,36.3,,103,10.4,,1001.9,
2023-07-03,26.2,24.1,30.4,34.3,,100,11.4,,1002.1,
2023-07-04,27.9,24.5,32.7,19.7,,98,14.1,,1001.6,
2023-07-05,27.3,24.8,31.6,18.6,,92,12.6,,1001.5,
2023-07-06,29.4,26,34.7,0.4,,97,12.1,,1002,
2023-07-07,28.1,24.9,32.6,9.5,,98,17.9,,1003.3,
2023-07-08,28.5,24.6,33.8,7.9,,90,15.1,,1004.5,
2023-07-09,28.9,25.1,34.6,4.8,,105,12.4,,1003.4,
2023-07-10,28.8,25.2,33.4,8.3,,93,11,,1002.6,
2023-07-11,28.2,25.2,34.2,11.3,,91,11.3,,1002.3,
2023-07-12,27.4,24.5,33.8,27.3,,90,11.1,,1002.5,
2023-07-13,27.1,24.3,30.4,35.7,,87,9.5,,1003,
2023-07-14,26.8,24.4,32.3,21.1,,94,9.9,,1003.2,
2023-07-15,27.5,24.9,32,4.3,,85,10.5,,1002.9,
2023-07-16,28.8,25.9,32.4,7.3,,90,12,,1002,
2023-07-17,28.2,26.3,33.4,1.6,,92,16.1,,1001.7,
2023-07-18,28.6,25.7,33.1,1.1,,69,10.4,,1001.6,
2023-07-19,30.4,26.6,35.3,0,,72,8.4,,1000.1,
2023-07-20,30.5,27.3,35.9,1.2,,81,10.9,,1000.1,
2023-07-21,29.9,27.6,34,2,,80,13.5,,1003.3,
2023-07-22,29.6,26.7,35.2,1.1,,91,14.8,,1006.3,
2023-07-23,29.9,27.3,35.2,1.8,,81,12.2,,1005.4,
2023-07-24,28.5,25.1,33.1,5.4,,92,11.1,,1003.4,
2023-07-25,27.8,24.7,32.9,6.6,,78,9.3,,1004.2,
2023-07-26,28.4,25.8,31.8,3.2,,66,8.8,,1004.2,
2023-07-27,28.9,25.7,33,1.6,,79,12,,1002.8,
2023-07-28,29.2,25.7,34.2,1.3,,81,10.2,,1000,
2023-07-29,27.4,25.1,31,12.6,,94,8.1,,1000.2,
2023-07-30,27.5,24.8,31,12.7,,85,7.7,,999.3,
2023-07-31,28.8,25,35,1.1,,230,6.1,,998.2,
2023-08-01,29.6,26.2,34.4,0.1,,120,6.6,,996.7,
2023-08-02,29,26.1,32.5,18.5,,60,11.4,,997.4,
2023-08-03,28.5,26,33,9.2,,86,18.4,,998.5,
2023-08-04,28.1,25.1,32.5,15,,90,17.2,,1001.2,
2023-08-05,28.2,25.1,33.2,3.9,,93,12.9,,1002,
2023-08-06,28.1,25.5,33.6,10.1,,77,6.6,,999.2,
2023-08-07,26.2,24.6,29.2,25.7,,246,7.3,,997.1,
2023-08-08,26,24.3,28.6,34.5,,230,6.6,,999,
2023-08-09,26.8,24.8,30,10.2,,139,10.5,,1001.9,
2023-08-10,27.3,24.8,31.4,3.9,,102,14.9,,1003.7,
2023-08-11,27.6,25.2,31.6,12.1,,107,8.9,,1003,
2023-08-12,26.5,25.1,29.1,18.6,,269,7.5,,1001,
2023-08-13,26.2,25.1,28.8,4.2,,315,6.8,,1002.2,
2023-08-14,27,24.4,30.7,4.2,,307,5.6,,1004.3,
2023-08-15,28.4,24.1,33.2,1,,311,8.1,,1003.3,
2023-08-16,29.2,25.6,33.1,3.8,,277,8.3,,1002.3,
2023-08-17,27.9,24.8,32.8,10.4,,88,7.1,,1003.4,
2023-08-18,28.9,25.9,32.5,11.1,,103,10,,1003.3,
2023-08-19,29.2,26.7,33.8,1.8,,89,13.6,,1004.2,
2023-08-20,29.1,26.9,33.8,0.8,,87,11.8,,1004.8,
2023-08-21,27,25.8,29.8,18.7,,72,9.4,,1004,
2023-08-22,27.5,25.2,31,7.1,,95,9.4,,1003.2,
2023-08-23,26.3,24.7,29,13.9,,96,8.8,,1002.4,
2023-08-24,25.7,24.2,30.6,33.6,,105,8.6,,1000.4,
2023-08-25,25.4,24.4,28.2,41.2,,118,9.4,,1000.1,
2023-08-26,25.9,23.8,30.6,79.5,,339,10.6,,1000,
2023-08-27,26.5,23.4,31.8,2.5,,291,10.9,,999.8,
2023-08-28,27.4,23.4,32.8,1.3,,272,10.8,,1000.8,
2023-08-29,27.1,23.5,32.8,1.3,,26,6,,1003.2,
2023-08-30,28.2,23.4,34.2,1.4,,356,6,,1004.5,
2023-08-31,28.8,25.2,33.2,2.4,,0,6.2,,1005.3,
2023-09-01,28.4,24.9,32.2,0.4,,330,5.3,,1004.5,
2023-09-02,27.7,26.1,31.4,9.7,,94,6.5,,1003.6,
2023-09-03,28.2,25.3,34.4,14.7,,86,7.5,,1002.7,
2023-09-04,28.7,24.9,33.5,4.2,,71,7.5,,1002.2,
2023-09-05,28.7,25.9,32.9,2.7,,24,5.3,,1002.9,
2023-09-06,29.9,24.9,35,0,,70,7.6,,1003.6,
2023-09-07,29.1,26.4,34.4,0.5,,80,11.7,,1004.1,
2023-09-08,27.6,24.7,32.8,8.7,,88,16,,1004.6,
2023-09-09,26.4,23.8,29.8,22.4,,95,16,,1004.7,
2023-09-10,28.3,25,34.3,12.6,,97,10.2,,1002.8,
2023-09-11,28.9,25.8,34,4.9,,79,8.9,,1001.6,
2023-09-12,28.1,25.5,34.2,4.5,,74,8.5,,1002.4,
2023-09-13,29.1,25.4,35.4,1.1,,84,8.4,,1002.8,
2023-09-14,28.5,24.9,34.6,3.3,,66,10.6,,1004.3,
2023-09-15,29,26.7,33.4,0.1,,88,17.2,,1005.2,
2023-09-16,28.4,24.9,31.8,0.4,,84,12.7,,1005.5,
2023-09-17,29,25.7,35.7,0.4,,95,8.5,,1004.2,
2023-09-18,28.4,24.6,34.6,4.1,,151,6.8,,1004.3,
2023-09-19,28.1,25,34.4,6.9,,72,8.3,,1006.6,
2023-09-20,27.8,25,34,6.7,,71,9,,1006.7,
2023-09-21,26.6,23.8,29.6,5.8,,80,12.6,,1006.6,
2023-09-22,26.7,23.8,31,1.6,,90,16.2,,1006.5,
2023-09-23,25.7,24.1,29.2,3.6,,92,18.1,,1006.5,
2023-09-24,25.8,23.8,30,1.9,,95,14.6,,1005.9,
2023-09-25,25.9,23.2,30.4,5.8,,90,9.8,,1006.8,
2023-09-26,27.2,23.5,33.1,0.5,,93,7.8,,1007.1,
2023-09-27,27.4,23.5,34.1,0,,1,6.8,,1006.3,
2023-09-28,28,23.7,34.2,0,,7,5.9,,1005.8,
2023-09-29,28.9,23.6,35.1,0,,1,5.6,,1005.6,
2023-09-30,27.5,24.1,34.6,5.1,,58,8.5,,1005.6,
2023-10-01,27.7,24.3,32.8,0,,90,6.5,,1004.6,
2023-10-02,27.4,25.2,32.3,3.5,,41,7.4,,1005.7,
2023-10-03,25.7,24.4,29.1,32.5,,48,10.7,,1006.4,
2023-10-04,25.5,23.9,29.6,13,,47,10.3,,1006.9,
2023-10-05,26.3,22.7,32.2,1.5,,297,9.4,,1005.6,
2023-10-06,26.5,23.5,30.2,0.1,,332,5.9,,1005.9,
2023-10-07,25.9,23.2,31.1,2.5,,79,7.2,,1007.6,
2023-10-08,26.4,22.8,32.4,2.8,,346,7.3,,1008.1,
2023-10-09,26.4,23,32.8,0.7,,1,7,,1008.2,
2023-10-10,26.1,23.4,32.4,4.4,,51,8.1,,1009.2,
2023-10-11,25.5,22.1,31.6,4.2,,71,9.2,,1009.8,
2023-10-12,25.4,21.5,31.2,0,,43,7.5,,1011.5,
2023-10-13,25.2,20.3,32.4,0,,355,6.8,,1012.4,
2023-10-14,24.8,20.5,31.2,0,,9,8,,1011.6,
2023-10-15,24.4,19.8,31.3,0.7,,38,6.6,,1009.8,
2023-10-16,24.5,21,30.2,0.1,,56,9.1,,1011.8,
2023-10-17,23.5,19,29.4,0,,298,6.9,,1012.9,
2023-10-18,23.9,19.2,30.2,0,,17,6.2,,1013,
2023-10-19,23.3,18.7,29.8,0,,13,6.9,,1013.4,
2023-10-20,23.4,18.6,30.4,0,,332,6.9,,1014.3,
2023-10-21,22.3,16.5,30,0,,336,6.4,,1015.3,
2023-10-22,22.6,16.6,30.4,0,,346,6.8,,1014.9,
2023-10-23,22.8,16.5,31.8,0,,17,6.5,,1013.6,
2023-10-24,23.5,17.8,31.6,0,,338,7.2,,1012.9,
2023-10-25,23.9,17.4,31.4,0,,310,8.8,,1012.9,
2023-10-26,23.4,17.9,31,0,,346,6,,1012.9,
2023-10-27,23.7,19.2,30.8,0,,20,5.9,,1012.7,
2023-10-28,23.4,18.4,30.4,0,,336,7.2,,1013.4,
2023-10-29,23.1,17.8,30.4,0,,325,7.3,,1013.6,
2023-10-30,23,16.6,31.2,0,,342,6.1,,1014,
2023-10-31,24.2,18.5,32.4,0,,7,6.4,,1015.3,
2023-11-01,23.8,19.3,30,0,,337,7.2,,1015.3,
2023-11-02,23.7,17.6,30.2,0,,312,8.8,,1013.4,
2023-11-03,23.3,18,30.4,0,,341,7.1,,1011.7,
2023-11-04,23,18.7,29.2,0,,337,8.1,,1011.6,
2023-11-05,21.6,15.7,28.6,0,,345,6.9,,1013.9,
2023-11-06,21.8,16.2,29,0,,338,7.2,,1015.1,
2023-11-07,21.9,16.1,29.2,0,,329,7.8,,1014,
2023-11-08,21.1,14.8,28.9,0,,330,7.4,,1013,
2023-11-09,21.2,16.3,28.6,0,,23,7.4,,1013.8,
2023-11-10,21.5,16.2,28.4,0,,17,7.8,,1015.4,
2023-11-11,21.6,17.7,27.2,0,,338,7.3,,1015.8,
2023-11-12,21.3,14.8,28.8,0,,359,6.7,,1016.2,
2023-11-13,21.2,16,29.6,0,,331,7.6,,1016.4,
2023-11-14,21.6,16.7,29.9,0,,359,7.4,,1016,
2023-11-15,22.2,16.8,30.2,0,,349,7,,1016,
2023-11-16,22.2,16.8,30.4,0,,43,7,,1017,
2023-11-17,22.9,16.9,31.2,0,,350,8,,1016,
2023-11-18,22.8,18.2,30.4,0,,19,7.4,,1015.5,
2023-11-19,22.1,17.3,29.1,0,,351,7.8,,1016.7,
2023-11-20,21.5,16.5,29.4,0,,327,8.1,,1015.8,
2023-11-21,20.3,15.2,28.4,0,,308,7.4,,1013.9,
2023-11-22,19.7,14.1,28.4,0,,336,6.1,,1013.3,
2023-11-23,20,14.5,26.6,0,,354,6.1,,1013.6,
2023-11-24,20.2,15,27.4,0,,343,6.1,,1014.7,
2023-11-25,21,15.8,28.2,0,,23,5.8,,1016.4,
2023-11-26,21,15.1,27.8,0,,344,6.8,,1017.1,
2023-11-27,21,17.3,26.1,0,,30,6.6,,1016,
2023-11-28,21,16.4,26.3,0,,324,6.3,,1014.3,
2023-11-29,20.5,14.7,27.2,0,,329,7.1,,1014.9,
2023-11-30,20,15.6,26.4,0,,334,7.7,,1016,
2023-12-01,19.8,14.7,25.7,0,,307,7.9,,1015.7,
2023-12-02,20.1,14.6,26.6,0,,327,8.6,,1015.1,
2023-12-03,19.1,12.6,26.9,0,,339,8,,1015,
2023-12-04,20.1,14.7,26,0,,17,8.3,,1014.1,
2023-12-05,20,16.4,25.9,0,,44,9,,1013,
2023-12-06,19.8,15.3,25.4,0,,58,8.2,,1015.5,
2023-12-07,18.3,14.9,21.9,0.2,,338,6.3,,1014.4,
2023-12-08,18.4,13.2,24.5,0,,306,9.5,,1013.1,
2023-12-09,17.9,13.3,23.4,0,,320,8.4,,1013.8,
2023-12-10,15.7,10.3,21.8,0,,323,7.5,,1013,
2023-12-11,16.4,12.7,21.7,0,,73,6.9,,1014.9,
2023-12-12,15.9,9.4,23.1,0,,322,7.3,,1013.5,
2023-12-13,16.3,11.3,22.2,0,,311,8.1,,1014,
2023-12-14,15.2,10.1,20.9,0,,353,7.1,,1015.9,
2023-12-15,15.4,10.5,21.6,0,,2,6.8,,1017.6,
2023-12-16,15.1,8.6,22.4,0,,328,7.7,,1015.9,
2023-12-17,15.4,9.5,22.5,0,,329,7.9,,1016.4,
2023-12-18,15.4,10.5,22.3,0,,317,8.2,,1016.7,
2023-12-19,14.8,7.7,22.3,0,,344,6.7,,1018,
2023-12-20,16.1,9.8,24,0,,311,9.7,,1017.3,
2023-12-21,15.9,10.4,23,0,,341,6.8,,1016.2,
2023-12-22,17.1,10.3,23.8,0,,36,6,,1016.8,
2023-12-23,17.8,12.2,24.5,0,,37,6.9,,1018.7,
2023-12-24,17.2,11.6,24.6,0,,339,7.7,,1019.1,
2023-12-25,17.6,12.4,24.9,0,,343,7.9,,1017.8,
2023-12-26,17.1,11.7,24.1,0,,0,7.3,,1018.1,
2023-12-27,17.3,11.2,24.5,0,,345,7.6,,1018.6,
2023-12-28,17.6,13,24.2,0,,353,7.1,,1017.8,
2023-12-29,17,11.3,24.3,0,,332,7.9,,1017.8,
2023-12-30,16.1,11,23.1,0,,316,8.5,,1016.5,
2023-12-31,15.8,11.5,21.7,0,,308,7.6,,1016.7,
2024-01-01,14.6,11,20.5,0,,294,7.6,,1016.4,
2024-01-02,13.8,8.5,20.9,0,,324,7.2,,1016.2,
2024-01-03,14.3,8.3,21.2,0,,356,6.5,,1016.1,
2024-01-04,14.6,9.9,21.6,0,,335,7.6,,1015.7,
2024-01-05,14.8,8.9,21.6,0,,11,7.5,,1016.7,
2024-01-06,16.3,10.7,22,0,,319,8.2,,1017.2,
2024-01-07,15.8,10,22,0,,306,9.4,,1017.7,
2024-01-08,15.2,9.7,21.7,0,,303,9.1,,1017.8,
2024-01-09,14.5,7.9,20.8,0,,301,8.9,,1016.3,
2024-01-10,14.1,9.4,20.2,0,,290,9.2,,1014.7,
2024-01-11,13.3,8.7,18.8,0,,313,7.9,,1017,
2024-01-12,12.9,9.3,18.6,0,,298,8,,1016.6,
2024-01-13,13,8.3,18.9,0,,312,6.1,,1016.1,
2024-01-14,13.3,8.5,19.4,0,,332,4.9,,1015.8,
2024-01-15,14.4,10.3,20.1,0,,334,6.4,,1015.2,
2024-01-16,14.3,10.8,19.3,0,,328,5.6,,1014.4,
2024-01-17,14,10.8,19.5,0,,59,7,,1014.8,
2024-01-18,13.8,9.4,19,0,,39,7.6,,1015.7,
2024-01-19,12.9,7.7,18.6,0,,332,7,,1017.3,
2024-01-20,12.6,6.3,19.5,0,,304,9.1,,1016.6,
2024-01-21,10.7,6.1,15.6,0,,292,8,,1016.1,
2024-01-22,11.6,7.8,17.3,0,,0,6.5,,1018.8,
2024-01-23,12.3,8,18.9,0,,327,6.6,,1016.7,
2024-01-24,12.7,7,19.1,0,,336,7.3,,1017,
2024-01-25,12.7,8.1,18.8,0,,315,8,,1019,
2024-01-26,12.7,7.3,19,0,,332,7.9,,1019.8,
2024-01-27,11.3,7.1,17.5,0,,335,8.7,,1019.1,
2024-01-28,12.9,7.5,19.1,0,,36,7.3,,1019,
2024-01-29,13.5,6.7,20.7,0,,340,5.8,,1017.3,
2024-01-30,14.3,8.8,20.9,0,,16,7.4,,1016.5,
2024-01-31,14.7,9.3,21.4,0,,24,7.6,,1016.3,
2024-02-01,15.5,9.6,22.1,0.2,,16,8.8,,1016.8,
2024-02-02,15.7,10,21.9,0,,297,13.5,,1014.6,
2024-02-03,13.7,8.7,18.9,0,,292,9,,1014.5,
2024-02-04,14.7,10.7,19.7,0,,64,8.9,,1016.9,
2024-02-05,15.6,10.6,21.8,0,,318,8,,1016.5,
2024-02-06,15.2,10,21.1,0,,286,13.4,,1015.9,
2024-02-07,14,9.3,19.5,0,,280,13.9,,1015.6,
2024-02-08,13.2,8.2,18.5,0,,282,11.9,,1014.9,
2024-02-09,13.6,8.2,19.8,0,,52,8.6,,1019.2,
2024-02-10,15.3,8,22.9,0,,308,9.2,,1019.2,
2024-02-11,15.7,8.8,23.8,0,,324,7.8,,1019.2,
2024-02-12,16.3,9.4,24.6,0,,347,7.9,,1018.9,
2024-02-13,17.1,11.2,23.9,0,,11,7.6,,1018.2,
2024-02-14,15.8,11.3,19.2,0,,17,6.5,,1017.4,
2024-02-15,17.6,10.9,24.8,0,,327,8.5,,1017.5,
2024-02-16,17.9,10.2,25.2,0,,313,8.4,,1017.9,
2024-02-17,18.2,11.5,24.3,0,,291,10.2,,1013.6,
2024-02-18,17.3,10.6,24,0,,352,7.2,,1013.5,
2024-02-19,18.5,12.2,25.5,0,,64,7.9,,1014,
2024-02-20,19.8,12.6,27.1,0,,332,8.6,,1011,
2024-02-21,19.6,16.1,25,0.6,,298,10.4,,1009.2,
2024-02-22,17.8,13.8,22.8,0,,339,9.4,,1011.3,
2024-02-23,17.4,8.8,25.3,0,,298,10.5,,1012.9,
2024-02-24,16.5,8.2,24.2,0,,333,9.5,,1015.3,
2024-02-25,17.1,9.7,24.7,0,,325,10,,1016,
2024-02-26,17.9,10.6,25.3,0,,343,8.8,,1016.6,
2024-02-27,18.5,11,25,0,,326,8.7,,1015.2,
2024-02-28,18.5,12.5,24.9,0,,278,11.4,,1012.3,
2024-02-29,19.1,14.3,25.2,0,,294,8.6,,1013.1,
2024-03-01,19.2,13.5,26.1,0,,19,7.7,,1014.2,
2024-03-02,21.1,13.9,27.7,0.2,,347,9.3,,1013.3,
2024-03-03,19.3,16.5,24.2,5,,320,8.4,,1013,
2024-03-04,20.5,15,27.8,0.2,,285,11.5,,1012.3,
2024-03-05,20.3,15,26.8,0,,277,16.5,,1012.1,
2024-03-06,18.5,12,25.2,0,,269,12.4,,1012,
2024-03-07,18.8,12.1,25.6,0,,271,10.2,,1011.7,
2024-03-08,19.3,12.6,26.4,0,,288,10.8,,1012.2,
2024-03-09,19.3,12.5,26.3,0,,291,9.9,,1012.7,
2024-03-10,19.2,13.1,26.2,0,,309,8.4,,1014.6,
2024-03-11,21.8,14.1,29.3,0,,319,9.5,,1014.5,
2024-03-12,22.3,14,29.7,0,,296,12.3,,1010.8,
2024-03-13,22.6,14.9,30.3,0,,307,11.6,,1010.1,
2024-03-14,22.6,13.6,30.7,0,,329,11.3,,1010.6,
2024-03-15,23.3,14,31.5,0,,303,12.1,,1011.2,
2024-03-16,23.5,13.9,30.7,0,,326,11.3,,1013.3,
2024-03-17,23,13.5,30.9,0,,319,10.8,,1012.9,
2024-03-18,23.3,15.7,31.2,0,,349,9.2,,1011.7,
2024-03-19,23.7,14.1,32.6,0,,7,9,,1011.9,
2024-03-20,19.6,16.3,23,4.5,,82,8.6,,1014.7,
2024-03-21,19.9,15.4,24.9,4.7,,84,13.9,,1014.1,
2024-03-22,20.6,14.6,25.6,0.9,,358,8,,1010.3,
2024-03-23,20.9,17.7,26.3,10,,28,9.4,,1008.1,
2024-03-24,22.5,17.8,27.9,0,,81,10.4,,1010.7,
2024-03-25,22.5,18.1,27.4,0.5,,47,8.9,,1011.3,
2024-03-26,22.4,17.5,27.2,0.2,,83,10.4,,1011.9,
2024-03-27,23.4,19.9,27.3,0.4,,84,12,,1013.7,
2024-03-28,23,19.8,26.4,2.2,,81,13.4,,1011.9,
2024-03-29,25.3,20.6,30.6,0,,70,9.1,,1009.9,
2024-03-30,25.7,20.3,32,0.1,,13,8.6,,1009.9,
2024-03-31,25.9,18.7,34.5,0,,326,10.5,,1008,
2024-04-01,26.4,19,33.9,0,,294,14.5,,1003.7,
2024-04-02,25.1,16.9,32.1,0,,289,11,,1003.8,
2024-04-03,25.2,17.8,33.2,0,,314,9.2,,1005.8,
2024-04-04,27.3,16.8,36.8,0,,334,11.3,,1005.4,
2024-04-05,27.3,19.4,36.2,0,,333,10.1,,1004.6,
2024-04-06,28,21.1,36.3,0,,313,11.8,,1004.7,
2024-04-07,27.4,17.2,36.5,0,,302,11.2,,1005.5,
2024-04-08,26.5,17.4,36.4,0,,335,10,,1008.2,
2024-04-09,25.7,17.1,33.6,0,,39,10.5,,1009.6,
2024-04-10,26.1,17,36.4,0,,39,11.4,,1009.8,
2024-04-11,27.3,20.2,35.2,0,,85,13,,1011.2,
2024-04-12,27.2,20.6,33.6,0,,79,10.7,,1011,
2024-04-13,27.6,21.2,35.6,0,,61,9.7,,1010.3,
2024-04-14,28.6,21.8,35.6,0,,29,9.5,,1010.3,
2024-04-15,29.5,20.5,37.4,0,,10,10.5,,1008.9,
2024-04-16,29.8,22.4,37.8,0,,318,9.2,,1005.8,
2024-04-17,28.5,20.6,36.4,0,,12,10.8,,1003.8,
2024-04-18,28.3,22.5,35.4,0,,81,11.2,,1003.8,
2024-04-19,29.2,23.8,35.9,0,,85,10.9,,1001.3,
2024-04-20,31,23.9,40.1,0,,37,14.8,,1000.2,
2024-04-21,30.8,20.4,38.8,0,,305,13.9,,1001.3,
2024-04-22,31.2,21,39.3,0,,291,14.2,,1002.9,
2024-04-23,30.6,20.8,39.1,0,,296,13.7,,1003,
2024-04-24,30,20,39,0,,305,15.3,,1002.3,
2024-04-25,29.7,19.6,39.1,0,,295,13.9,,1002.5,
2024-04-26,29.8,19,38.2,0,,338,9.4,,1002.4,
2024-04-27,30,24.1,37.2,0,,52,10.2,,1003.6,
2024-04-28,31.5,22.7,39.7,0,,302,13.2,,1002.9,
2024-04-29,31.6,20,40,0,,306,12.6,,1003,
2024-04-30,31.4,14,40.1,0,,291,14.2,,999.2,
2024-05-01,30.8,23.6,39.4,0,,285,14.9,,999,
2024-05-02,29.3,22,36.1,0,,297,13.2,,1000.5,
2024-05-03,28.6,18.8,37.6,0,,304,9,,1003.5,
2024-05-04,30.3,23.6,37.2,0,,83,11.5,,1003.9,
2024-05-05,30,22.5,36.4,0,,85,13.1,,1001.2,
2024-05-06,28.7,23.5,35.3,0.3,,98,18.2,,1005.5,
2024-05-07,25.5,21.5,31.2,16.8,,79,18.3,,1009.8,
2024-05-08,24.2,20.4,28.1,16.2,,54,10.2,,1010.5,
2024-05-09,25.6,20.6,30.5,12,,77,11.1,,1008.5,
2024-05-10,26.4,23,31.8,0,,96,12.2,,1009,
2024-05-11,27.6,23.3,33.8,0,,83,11.9,,1008.8,
2024-05-12,25.5,21.9,31.4,1.2,,79,11.9,,1010.2,
2024-05-13,26.6,22,31.9,0,,66,7.9,,1009.2,
2024-05-14,28.6,24.3,35.2,0,,45,7.6,,1008.6,
2024-05-15,29.8,25.4,36.2,0,,58,8.5,,1008.4,
2024-05-16,29.7,23.1,36.8,0,,36,8.7,,1007.5,
2024-05-17,30.1,23.1,36.8,0,,57,8.5,,1004.6,
2024-05-18,30.5,24.9,36.6,0.2,,80,10.5,,1002.7,
2024-05-19,29.5,25.5,34.8,1.2,,97,14.4,,1002.4,
2024-05-20,27.9,22.4,33.3,0.5,,85,12.4,,1003.6,
2024-05-21,28.8,24.1,34.2,0,,107,13.3,,1005,
2024-05-22,29,25,33.2,0.3,,83,14.9,,1005.1,
2024-05-23,28.5,25.6,33.6,0,,82,12.1,,1004,
2024-05-24,31,25.6,37.4,0,,85,7.4,,1001.7,
2024-05-25,31.7,26.2,37.4,0,,53,7.5,,999.9,
2024-05-26,32.2,27.5,38.4,0,,81,7.6,,998.8,
2024-05-27,29.9,25.5,35.9,0.7,,31,10.6,,997.1,
2024-05-28,29.8,24.9,36.1,1,,28,9.1,,994.7,
2024-05-29,32.4,27.2,39,0,,67,9.8,,996.4,
2024-05-30,31.7,25.6,37.9,7.5,,79,13.9,,998.8,
2024-05-31,29.7,24.8,35.3,0.1,,94,12.1,,1001.2,
2024-06-01,30.6,26.4,36.2,0.4,,88,13.2,,1002.4,
2024-06-02,29,23.8,34.3,0,,85,10.5,,1003.7,
2024-06-03,29.1,24.2,34.7,4.2,,356,8,,1002.7,
2024-06-04,27.9,22.8,33.6,9.6,,79,11.5,,1003.1,
2024-06-05,28.3,24.8,32.8,5.8,,64,11.3,,1003.8,
2024-06-06,27.4,23.5,32.4,8.6,,55,9.7,,1004.2,
2024-06-07,28.1,24.2,34.5,3.3,,25,8.4,,1002,
2024-06-08,30,25.5,36.4,0,,79,9.6,,1000.1,
2024-06-09,30.4,26,36.7,0,,81,10.9,,999.6,
2024-06-10,30.7,26.1,36.6,0,,84,10.6,,1000,
2024-06-11,30.9,26.9,36.2,0,,94,11.4,,1000,
2024-06-12,30.8,26.7,37.6,0.1,,93,11.5,,1000.7,
2024-06-13,30.5,26.6,35,0,,97,13.6,,999.3,
2024-06-14,29.6,25.5,34.4,0.4,,101,12.8,,998.4,
2024-06-15,29.8,25.4,35.8,0.3,,91,12.4,,998.7,
2024-06-16,29.2,24.9,33.8,0.2,,94,13.1,,1000.3,
2024-06-17,29.8,26.1,34.7,0.5,,77,11.5,,999.4,
2024-06-18,29.2,25.9,33.8,0.4,,88,12.3,,997.8,
2024-06-19,28,23.6,32.8,12.9,,93,12.1,,997.3,
2024-06-20,27.2,23.2,31.6,26.7,,81,9.6,,999.3,
2024-06-21,28.3,24.6,32.7,4.5,,102,10.4,,1000.6,
2024-06-22,29.3,25.2,35.6,0,,98,12,,1000.9,
2024-06-23,30.2,26.5,35.5,0.6,,91,12.6,,1000.8,
2024-06-24,30.5,27.5,35.8,0,,92,11.4,,999.6,
2024-06-25,28.7,25.8,33.2,10.8,,105,11.9,,999.4,
2024-06-26,27.2,25.1,29.3,25,,91,12.7,,1001.2,
2024-06-27,29.5,26,35.5,0,,92,9.9,,1002.3,
2024-06-28,28.2,25.3,32.5,19.7,,92,9.6,,1000.8,
2024-06-29,28.1,25.4,34.7,14.8,,94,8.8,,999.8,
2024-06-30,27.7,24.8,32.9,22.7,,114,7.9,,999.5,
2024-07-01,27.3,24.5,32.2,31.6,,112,7,,997.2,
2024-07-02,26.8,24.8,30.8,6.3,,105,14.1,,997.2,
2024-07-03,27.3,24.9,30.8,5.4,,98,16.4,,999.8,
2024-07-04,27,25.3,28.6,9.9,,94,18,,1001.8,
2024-07-05,26.4,24.4,29.7,13.8,,94,18.8,,999.5,
2024-07-06,25.5,24.1,28.7,72.7,,95,19,,999.7,
2024-07-07,26.2,23.8,29.6,9.4,,99,15.7,,1002.9,
2024-07-08,27.6,25.2,31.6,3.6,,90,9.9,,1003.1,
2024-07-09,27,24.4,31.3,44.4,,90,10,,1003.3,
2024-07-10,26.6,24.8,29.6,37.1,,96,9.4,,1003.5,
2024-07-11,26.7,24.6,30.2,32.8,,165,7.7,,1000,
2024-07-12,25.3,24.6,26.8,112.7,,99,12.1,,999,
2024-07-13,27.7,24.7,31.4,4.8,,106,9.6,,998.2,
2024-07-14,28.1,24.7,31.9,16.1,,97,12.7,,998.4,
2024-07-15,28.7,25,32.7,25,,81,14.6,,1001,
2024-07-16,28.5,26,32.1,7,,88,15.5,,1002.2,
2024-07-17,28.5,26.2,31.8,2.9,,78,11.5,,1001.8,
2024-07-18,28.6,25.1,32.4,23.7,,59,9.4,,1000,
2024-07-19,28.1,24.9,32.7,13.6,,73,9,,999,
2024-07-20,29,26.4,32,4.6,,89,13.9,,999.6,
2024-07-21,29,25.3,32.9,5.9,,87,14.6,,1000,
2024-07-22,28.6,25.4,32.3,5.7,,90,16.1,,999.9,
2024-07-23,28,26.1,30.9,1.6,,94,14.7,,998.7,
2024-07-24,29,26.4,32.1,0.3,,89,14.6,,995.4,
2024-07-25,28.9,26.8,32.1,3.7,,89,13,,994.3,
2024-07-26,29.7,26.8,32.4,0.2,,67,7,,995.2,
2024-07-27,30.8,27.9,34.7,4.3,,91,14.1,,997.2,
2024-07-28,29.7,27.3,33.2,1.9,,89,15.6,,998.8,
2024-07-29,29,26.7,32.6,4.6,,66,11.4,,998.8,
2024-07-30,29,25.7,32.9,21.2,,77,10.9,,1000.2,
2024-07-31,28.7,25.4,32.7,18.2,,95,10.8,,1000.7,
